countyLong,countyLat,countyPK,countyOrder,county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
-96.15950775,45.21783066,6,94,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.16523743,45.21210098,6,95,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.1938858,45.21783066,6,96,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.22826385,45.22356033,6,97,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.26836395,45.22356033,6,98,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.27983093,45.22928619,6,99,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.27410126,45.24647522,6,100,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.302742,45.24647522,6,101,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.36003876,45.25793839,6,102,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.43452454,45.26366806,6,103,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.43452454,45.29231262,6,104,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.43452454,45.29231262,1210,-96.43452454,45.29231262,611
-96.44025421,45.31523132,6,105,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.44025421,45.31523132,1211,-96.44025421,45.31523132,612
-96.44025421,45.32669449,6,106,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.44025421,45.32669449,1213,-96.44025421,45.32669449,613
-96.45745087,45.35533905,6,107,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.45745087,45.35533905,1214,-96.45745087,45.35533905,614
-96.51473999,45.37825775,6,108,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.51473999,45.37825775,1215,-96.51473999,45.37825775,615
-96.57776642,45.40690613,6,109,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.57776642,45.40690613,1216,-96.57776642,45.40690613,616
-96.68663025,45.44701385,6,110,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.68663025,45.44701385,1217,-96.68663025,45.44701385,617
-96.72100067,45.49857712,6,111,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.72100067,45.49857712,1218,-96.72100067,45.49857712,618
-96.77830505,45.55587387,6,112,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.77830505,45.55587387,1219,-96.77830505,45.55587387,619
-96.81267548,45.58452225,6,113,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.81267548,45.58452225,1220,-96.81267548,45.58452225,620
-96.23972321,45.59025192,6,114,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.23972321,45.59025192,1221,-96.23972321,45.59025192,621
-96.23399353,45.41836548,6,115,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.23399353,45.41836548,1222,-96.23399353,45.41836548,622
-96.10794067,45.41836548,6,116,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-94.37187958,43.8599205,7,118,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,43.8599205,940,,,
-94.37187958,44.11774826,7,119,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,44.11774826,941,,,
-94.37187958,44.28390884,7,120,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,44.28390884,942,,,
-94.32604218,44.27244949,7,121,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.32604218,44.27244949,943,,,
-94.30312347,44.26099014,7,122,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.30312347,44.26099014,944,,,
-94.24009705,44.24380112,7,123,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.24009705,44.24380112,945,,,
-94.2286377,44.22661209,7,124,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.2286377,44.22661209,946,,,
-94.18280029,44.21515274,7,125,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.18280029,44.21515274,947,,,
-94.16561127,44.20369339,7,126,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.16561127,44.20369339,948,,,
-94.10832214,44.20369339,7,127,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.10832214,44.20369339,949,,,
-94.09112549,44.18077469,7,128,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.09112549,44.18077469,950,,,
-94.03382874,44.17504883,7,129,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.03382874,44.17504883,951,,,
-94.01664734,44.18077469,7,130,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01664734,44.18077469,952,,,
-94.00518799,44.20369339,7,131,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.00518799,44.20369339,953,,,
-94.01091766,44.22661209,7,132,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01091766,44.22661209,954,,,
-94.01091766,44.23807144,7,133,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01091766,44.23807144,955,,,
-94.00518799,44.25526047,7,134,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.00518799,44.25526047,956,,,
-93.77600098,44.25526047,7,135,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,44.25526047,957,,,
-93.77600098,44.20369339,7,136,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,44.20369339,958,,,
-93.77600098,43.8599205,7,137,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,43.8599205,959,,,
-94.26301575,43.8599205,7,138,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.26301575,43.8599205,960,,,
-94.37187958,43.8599205,7,139,Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,43.8599205,961,,,
-94.79013824,44.47298431,8,141,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.78440857,44.46152496,8,142,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.76148987,44.46152496,8,143,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.70419312,44.43860626,8,144,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.69846344,44.42714691,8,145,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.68127441,44.42142105,8,146,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.65262604,44.42142105,8,147,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.58386993,44.38703918,8,148,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.52657318,44.38131332,8,149,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.50939178,44.38131332,8,150,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.4979248,44.36985016,8,151,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.43490601,44.34120178,8,152,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.4119873,44.30109406,8,153,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.3890686,44.28390884,8,154,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.37187958,44.28390884,8,155,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-94.37187958,44.11774826,8,156,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.37187958,44.11774826,980,,,
-94.86462402,44.11774826,8,157,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.86462402,44.11774826,979,,,
-95.09954071,44.12347794,8,158,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.09954071,44.12347794,978,-95.09954071,44.12347794,514
-95.09954071,44.20369339,8,159,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.09954071,44.20369339,977,-95.09954071,44.20369339,515
-95.11672211,44.20369339,8,160,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.11672211,44.20369339,976,-95.11672211,44.20369339,516
-95.11672211,44.29536819,8,161,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.11672211,44.29536819,975,-95.11672211,44.29536819,517
-94.8703537,44.29536819,8,162,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.8703537,44.29536819,974,-94.8703537,44.29536819,518
-94.85888672,44.50735855,8,163,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.85888672,44.50735855,973,-94.85888672,44.50735855,519
-94.8245163,44.49590302,8,164,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.8245163,44.49590302,972,-94.8245163,44.49590302,520
-94.79586792,44.49017334,8,165,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.79586792,44.49017334,971,-94.79586792,44.49017334,521
-94.79013824,44.47298431,8,166,Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,,,,,,
-93.04833984,46.76481628,9,168,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,,,,,,
-92.29777527,46.76481628,9,169,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,,,,,,
-92.30349731,46.65595245,9,170,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,,,,,,
-92.29204559,46.42103958,9,171,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-92.29204559,46.42103958,772,-92.29204559,46.42103958,231
-93.03688812,46.42676926,9,172,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.03688812,46.42676926,773,-93.03688812,46.42676926,230
-93.03688812,46.57574081,9,173,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.03688812,46.57574081,774,,,
-93.05407715,46.58719635,9,174,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.05407715,46.58719635,775,,,
-93.04833984,46.76481628,9,175,Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,,,,,,
-93.51817322,44.82248688,10,177,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.82248688,371,,,
-93.57546997,44.80530167,10,178,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.57546997,44.80530167,372,,,
-93.58692169,44.78238297,10,179,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.58692169,44.78238297,373,,,
-93.60984802,44.77664948,10,180,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.60984802,44.77664948,374,,,
-93.60984802,44.76519394,10,181,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.60984802,44.76519394,375,,,
-93.62702942,44.74800491,10,182,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.62702942,44.74800491,376,,,
