long,lat,group,order,region,subregion,mn_fips
-92.78479004,45.28658676,1,303,minnesota,NA,27000
-92.76759338,45.21783066,1,304,minnesota,NA,27000
-92.79051971,45.20064163,1,305,minnesota,NA,27000
-92.77905273,45.13188553,1,306,minnesota,NA,27000
-92.80197144,45.07458878,1,307,minnesota,NA,27000
-92.79051971,45.0459404,1,308,minnesota,NA,27000
-92.76186371,44.95426941,1,309,minnesota,NA,27000
-92.77905273,44.91416168,1,310,minnesota,NA,27000
-92.76186371,44.86832428,1,311,minnesota,NA,27000
-92.79624939,44.82822037,1,312,minnesota,NA,27000
-92.80197144,44.75373077,1,313,minnesota,NA,27000
-92.73895264,44.71362686,1,314,minnesota,NA,27000
-92.67591858,44.69070816,1,315,minnesota,NA,27000
-92.63008881,44.65060043,1,316,minnesota,NA,27000
-92.58998108,44.60476685,1,317,minnesota,NA,27000
-92.53268433,44.58184814,1,318,minnesota,NA,27000
-92.43527985,44.57611465,1,319,minnesota,NA,27000
-92.36079407,44.55319595,1,320,minnesota,NA,27000
-92.337883,44.54174042,1,321,minnesota,NA,27000
-92.32068634,44.52455139,1,322,minnesota,NA,27000
-92.29777527,44.48444366,1,323,minnesota,NA,27000
-92.25193787,44.45579529,1,324,minnesota,NA,27000
-92.097229,44.42714691,1,325,minnesota,NA,27000
-92.10296631,44.42142105,1,326,minnesota,NA,27000
-92.01702118,44.39850235,1,327,minnesota,NA,27000
-91.9425354,44.36412048,1,328,minnesota,NA,27000
-91.90815735,44.32974625,1,329,minnesota,NA,27000
-91.8795166,44.27817917,1,330,minnesota,NA,27000
-91.86231995,44.23234177,1,331,minnesota,NA,27000
-91.8336792,44.19223404,1,332,minnesota,NA,27000
-91.81075287,44.17504883,1,333,minnesota,NA,27000
-91.72481537,44.14066696,1,334,minnesota,NA,27000
-91.66751862,44.10055923,1,335,minnesota,NA,27000
-91.60449219,44.066185,1,336,minnesota,NA,27000
-91.54719543,44.03180313,1,337,minnesota,NA,27000
-91.49562836,44.01461792,1,338,minnesota,NA,27000
-91.43833923,43.99169922,1,339,minnesota,NA,27000
-91.39822388,43.97451019,1,340,minnesota,NA,27000
-91.35811615,43.92867661,1,341,minnesota,NA,27000
-91.3065567,43.89429474,1,342,minnesota,NA,27000
-91.28936768,43.85419083,1,343,minnesota,NA,27000
-91.2607193,43.84273148,1,344,minnesota,NA,27000
-91.24353027,43.80262375,1,345,minnesota,NA,27000
-91.24353027,43.78543472,1,346,minnesota,NA,27000
-91.25498962,43.72813797,1,347,minnesota,NA,27000
-91.27217865,43.68803024,1,348,minnesota,NA,27000
-91.23779297,43.6307373,1,349,minnesota,NA,27000
-91.24925995,43.59635925,1,350,minnesota,NA,27000
-91.2607193,43.55625153,1,351,minnesota,NA,27000
-91.22634125,43.51041412,1,352,minnesota,NA,27000
-91.22061157,43.51041412,1,353,minnesota,NA,27000
-91.22634125,43.49895477,1,354,minnesota,NA,27000
-91.60449219,43.51041412,1,355,minnesota,NA,27000
-91.72481537,43.51041412,1,356,minnesota,NA,27000
-92.08004761,43.50468445,1,357,minnesota,NA,27000
-92.45819855,43.50468445,1,358,minnesota,NA,27000
-92.54987335,43.51041412,1,359,minnesota,NA,27000
-93.02542877,43.51041412,1,360,minnesota,NA,27000
-93.05980682,43.51041412,1,361,minnesota,NA,27000
-93.49525452,43.51041412,1,362,minnesota,NA,27000
-93.64422607,43.51041412,1,363,minnesota,NA,27000
-93.97653961,43.51041412,1,364,minnesota,NA,27000
-94.26301575,43.50468445,1,365,minnesota,NA,27000
-94.4520874,43.50468445,1,366,minnesota,NA,27000
-94.86462402,43.50468445,1,367,minnesota,NA,27000
-94.9161911,43.50468445,1,368,minnesota,NA,27000
-95.39173889,43.50468445,1,369,minnesota,NA,27000
-95.4662323,43.50468445,1,370,minnesota,NA,27000
-95.86156464,43.50468445,1,371,minnesota,NA,27000
-96.04491425,43.49895477,1,372,minnesota,NA,27000
-96.42879486,43.49322891,1,373,minnesota,NA,27000
