county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,countyLong,countyLat,countyOrder,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.37187958,44.11774826,156,-94.37187958,44.11774826,980,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.79013824,44.47298431,141,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.78440857,44.46152496,142,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.76148987,44.46152496,143,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.70419312,44.43860626,144,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.69846344,44.42714691,145,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.68127441,44.42142105,146,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.65262604,44.42142105,147,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.58386993,44.38703918,148,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.52657318,44.38131332,149,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.50939178,44.38131332,150,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.4979248,44.36985016,151,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.43490601,44.34120178,152,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.4119873,44.30109406,153,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.3890686,44.28390884,154,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.37187958,44.28390884,155,,,,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.79013824,44.47298431,166,,,,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-92.29204559,46.42103958,171,-92.29204559,46.42103958,772,-92.29204559,46.42103958,231
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.03688812,46.42676926,172,-93.03688812,46.42676926,773,-93.03688812,46.42676926,230
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.03688812,46.57574081,173,-93.03688812,46.57574081,774,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.05407715,46.58719635,174,-93.05407715,46.58719635,775,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.04833984,46.76481628,168,,,,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-92.29777527,46.76481628,169,,,,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-92.30349731,46.65595245,170,,,,,,
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200,-93.04833984,46.76481628,175,,,,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.82248688,177,-93.51817322,44.82248688,371,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.57546997,44.80530167,178,-93.57546997,44.80530167,372,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.58692169,44.78238297,179,-93.58692169,44.78238297,373,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.60984802,44.77664948,180,-93.60984802,44.77664948,374,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.60984802,44.76519394,181,-93.60984802,44.76519394,375,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.62702942,44.74800491,182,-93.62702942,44.74800491,376,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.6155777,44.72508621,183,-93.6155777,44.72508621,377,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.63275909,44.71362686,184,-93.63275909,44.71362686,378,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.66140747,44.70789719,185,-93.66140747,44.70789719,379,,,
